# eBE(cm-1)  int. (rel. X0)  beta
36324.385      0.12670      -0.23633
36335.401      0.07852      -0.12424
36346.369      0.00195       5.12793
36357.289      0.05524      -1.56441
36368.161      0.09722      -1.20339
36378.985      0.10730      -1.14054
36389.761      0.16175      -0.73833
36400.489      0.15730      -0.78426
36411.169      0.11702      -0.64788
36421.801      0.11519      -0.47049
36432.385      0.09723      -1.43985
36442.921      0.10276      -0.90455
36453.409      0.07104      -0.08032
36463.849      0.05954      -1.00389
36474.241      0.05756      -1.26515
36484.585      0.05760      -0.72305
36494.881     -0.00225     -39.37859
36505.129     -0.05043      -2.58336
36515.329      0.07074       0.06125
36525.481      0.20332      -0.35103
36535.585      0.18220      -1.09308
36545.641      0.07552      -1.51434
36555.649      0.10735       0.28872
36565.609      0.14441       0.53764
36575.521      0.11419      -0.18325
36585.385      0.08025      -0.92920
36595.201      0.03366      -1.97114
36604.969      0.00513       9.51592
36614.689      0.05556       2.59020
36624.361      0.08385       1.51451
36633.985      0.06479      -0.05220
36643.561      0.07597      -0.93042
36653.089      0.06530      -1.29261
36662.569      0.04386       1.87588
36672.001      0.11692       0.53148
36681.385      0.18633      -0.29071
36690.721      0.10536      -0.81362
36700.009      0.09816      -0.35959
36709.249      0.14804      -0.83411
36718.441      0.19049      -1.25520
36727.585      0.25692      -1.15200
36736.681      0.16004      -0.92275
36745.729      0.01766       8.12722
36754.729     -0.00713     -17.21209
36763.681      0.02904       1.61853
36772.585      0.10920      -0.35879
36781.441      0.16359      -0.87016
36790.249      0.13072      -0.99158
36799.009      0.05818      -0.39641
36807.721      0.07809       0.38622
36816.385      0.12276       0.15764
36825.001      0.12034      -0.06880
36833.569      0.16481      -0.40082
36842.089      0.12834      -0.62504
36850.561      0.05561      -0.36791
36858.985      0.01428       5.00808
36867.361      0.03038       2.24878
36875.689      0.10698      -0.27131
36883.969      0.17306      -0.42857
36892.201      0.13296      -0.02139
36900.385      0.06732      -0.22364
36908.521      0.08180      -0.13015
36916.609      0.08240      -0.25718
36924.649      0.15545      -0.30444
36932.641      0.18438      -0.01296
36940.585      0.10474       0.71890
36948.481      0.13824       0.07203
36956.329      0.20036      -0.35400
36964.129      0.13950      -0.45546
36971.881      0.10321      -1.25068
36979.585      0.13861      -0.85465
36987.241      0.17978       0.21330
36994.849      0.11895       0.57665
37002.409      0.03005       2.71439
37009.921      0.05287       2.71866
37017.385      0.15735       0.37558
37024.801      0.18453      -0.05703
37032.169      0.16423      -0.22717
37039.489      0.13148      -0.76346
37046.761      0.13939      -1.28184
37053.985      0.15361      -0.71366
37061.161      0.14508      -0.18329
37068.289      0.12556      -0.07902
37075.369      0.15150      -0.66246
