# eBE(cm-1)  int. (rel. X0)  beta
37146.811      0.01719      -1.22484
37150.081      0.05241      -0.93782
37153.339      0.00272       2.37139
37156.585      0.01411      -1.05781
37159.819      0.01037      -1.58673
37163.041      0.02730      -0.10764
37166.251      0.00955       0.94196
37169.449      0.04032      -0.78506
37172.635     -0.00381      -2.24235
37175.809      0.02239      -1.55639
37178.971      0.04483      -0.40306
37182.121      0.02747      -1.25576
37185.259      0.01878      -1.69961
37188.385      0.00239       5.25805
37191.499      0.02868      -1.41807
37194.601      0.03287       0.00646
37197.691      0.03734      -0.51177
37200.769      0.02140      -2.00129
37203.835      0.01971       0.23301
37206.889      0.02287      -1.46859
37209.931      0.04308      -0.89626
37212.961      0.03341      -0.02978
37215.979      0.02812      -0.95529
37218.985      0.02227       1.05577
37221.979      0.05133      -0.71464
37224.961      0.02366      -0.74208
37227.931      0.01895      -0.68314
37230.889      0.03656      -0.64292
37233.835      0.03947      -0.38176
37236.769      0.02049      -1.58425
37239.691      0.04357      -0.78920
37242.601      0.00452      -3.11090
37245.499      0.05133      -0.89829
37248.385      0.02137       0.51416
37251.259      0.03508       0.70082
37254.121      0.00987      -2.97627
37256.971      0.04742      -0.68703
37259.809      0.01941      -1.89047
37262.635      0.02912      -0.45669
37265.449      0.04826      -0.96381
37268.251      0.01476       1.96346
37271.041      0.02835      -0.40054
37273.819      0.05347      -1.31999
37276.585      0.03856      -0.42067
37279.339      0.01657       0.17104
37282.081      0.02488       0.86781
37284.811      0.03388      -1.17131
37287.529      0.03112      -0.57711
37290.235      0.03556       0.15345
37292.929      0.05075      -0.31480
37295.611      0.03367      -1.01150
37298.281      0.05155      -0.26488
37300.939      0.03195      -1.07906
37303.585      0.03253      -0.09834
37306.219      0.04459      -0.79419
37308.841      0.05211      -0.78946
37311.451      0.02601       1.00783
37314.049      0.01462      -1.46439
37316.635      0.03300       0.58983
37319.209      0.06434      -0.77693
37321.771      0.03973      -0.76829
37324.321      0.02310       0.99337
37326.859      0.06404      -0.68243
37329.385      0.00702       1.71895
37331.899      0.05519      -0.30722
37334.401      0.03429      -0.72301
37336.891      0.04163       0.31505
37339.369      0.05244      -0.75879
37341.835      0.04969       0.03691
37344.289      0.04426      -0.28686
37346.731      0.03457      -0.10722
37349.161      0.03493      -1.03732
37351.579      0.06349      -0.22417
37353.985      0.03597       0.07123
37356.379      0.05403      -0.13995
37358.761      0.02465       0.77468
37361.131      0.05751      -1.21897
37363.489      0.02434       0.11204
37365.835      0.06383      -0.43746
37368.169      0.04956      -0.03053
37370.491      0.02892       0.25583
37372.801      0.04929      -0.38033
37375.099      0.05212      -0.03230
37377.385      0.02913      -0.55757
37379.659      0.04372      -0.17868
37381.921      0.06733      -0.88475
37384.171      0.03276       0.40607
37386.409      0.04556      -0.24009
37388.635      0.05578      -0.34443
37390.849      0.01994       0.38306
37393.051      0.06485      -0.63834
37395.241      0.03998       0.35604
37397.419      0.05410      -0.22187
37399.585      0.02200      -0.04650
37401.739      0.08026      -0.28264
37403.881      0.06063      -0.76062
37406.011      0.07170      -0.25287
37408.129      0.03445      -0.59325
37410.235      0.04254      -0.48657
37412.329      0.03300       0.93475
37414.411      0.08197      -0.27824
37416.481      0.03193       0.35724
37418.539      0.05528      -0.20301
37420.585      0.06027      -0.13900
37422.619      0.03287      -0.92875
37424.641      0.05696       0.25475
37426.651      0.05917      -0.33535
37428.649      0.06216      -0.03815
37430.635      0.05978      -0.46964
37432.609      0.06531      -0.42423
37434.571      0.06334      -0.55827
37436.521      0.04003       0.61527
37438.459      0.04329      -0.63469
37440.385      0.03535       0.38295
37442.299      0.05695       0.26606
37444.201      0.03829      -0.14991
37446.091      0.07744      -0.73711
37447.969      0.04934      -0.51561
37449.835      0.06615       0.49655
37451.689      0.08696      -0.54843
37453.531      0.01960       2.33906
37455.361      0.06247      -0.15792
37457.179      0.06595      -0.52405
37458.985      0.08922      -0.08833
37460.779      0.03057      -1.38578
